customer_id,customer_count
12819130,2
50079826,2
3399669,1
23344898,1
42139031,1
48994143,1
768171,1
29907188,1
28161223,1
184483,1
225566,1
42628722,1
2903234,1
11285702,2
15423461,1
30717827,1
35594973,1
20157057,1
27747830,1
11150152,1
4801654,1
8211293,1
15503816,1
47804024,1
10289579,1
2783213,2
24861308,1
11555870,1
521745,1
15175164,1
17326112,1
49269565,1
5341596,1
39109540,1
27463145,1
212175,1
35971319,1
30995133,1
470179,1
14508563,1
46772781,1
5735686,1
10031236,1
27349270,2
13005226,1
1435514,1
42263680,1
20001107,1
1076507,1
12927381,1
560818,1
4451186,1
7047601,1
18961565,1
31120005,1
50777236,1
40333880,1
36141744,1
51322573,1
12536485,1
24918324,1
11326095,1
42091287,1
19544718,2
35986913,1
398174,1
47078974,1
22962134,1
39523460,1
30537575,2
41657692,1
22544149,2
3757862,1
43741078,1
28269140,1
9107712,1
45076768,1
48734934,1
34786193,1
39655880,1
38304472,1
19619503,1
17493401,1
10020133,1
671995,1
15212558,1
21166154,1
40021407,1
1152635,1
12200537,1
2931767,2
17777140,2
41908276,1
6836822,1
13667155,1
8503397,1
2458569,1
7382398,1
37438380,1
48515527,1
7072105,1
27493274,1
18481430,2
3040036,1
43920023,1
387887,1
467217,1
16180122,1
50254228,1
11419876,1
13450491,1
12512252,1
14816425,1
4610605,1
6951463,1
39020099,1
1642305,1
499885,1
15757397,1
13159855,1
46152810,1
13164541,2
48349746,1
2947629,1
1170946,1
51886280,1
51379647,1
23690839,1
869787,1
13037028,2
22118814,1
30836051,1
32318804,1
19530671,1
24252660,1
2913481,1
8183086,1
41026510,1
46869583,1
2094046,1
44839002,1
6223776,1
23068666,1
683371,1
12488774,1
37571749,1
2355833,1
23911099,1
21935578,1
49375099,1
6312566,1
33486032,1
23194686,1
38118996,2
49286609,1
10886687,2
37382395,1
3528728,1
11501522,1
1696708,1
36595908,1
4396866,1
1038390,1
40584970,1
2047658,1
27078627,1
1398458,1
13983797,1
47838095,1
35560769,1
20302459,1
29797866,3
41380769,1
47380365,1
36956082,1
14314689,1
39772268,1
42287394,1
10930064,1
51887076,2
31548104,1
45118385,1
13119793,1
50547308,1
36486219,1
47766650,1
51714982,1
50233841,1
18561933,1
2489057,1
40135694,1
35073395,1
5767083,1
51815596,1
14517458,1
18199298,1
29539163,1
18461577,1
25431177,1
22273040,1
1097129,1
27153736,1
6925189,1
5420946,1
2980809,1
48838626,1
2025450,1
38567227,1
34745467,1
40460996,1
14427015,1
32641354,1
51571331,1
49716218,1
14371351,1
48456843,1
2498753,3
43170052,1
21993943,1
33283574,1
51625131,1
11444823,1
7236461,1
50152643,2
12289693,1
6367202,1
7978843,1
21973320,1
38744642,1
29811841,1
51215317,1
15185969,1
37811270,1
50262506,1
30374907,1
17040728,1
42934618,1
38439321,1
45853325,1
14646714,1
32613489,1
962260,1
8527513,1
31183484,1
977631,1
11565958,1
20365292,1
28290218,1
4764230,1
37968223,1
2041834,1
32664614,1
52156255,1
18507468,1
41974520,1
11418227,1
21577008,1
21074532,1
24615899,1
31356112,1
45103361,1
30255970,1
39708109,1
12372157,1
37213628,1
1394125,1
28073388,1
22107411,1
45771996,1
20392671,1
14780925,2
41983222,1
13901674,1
21192994,1
13928580,1
2182883,1
16544080,1
17215703,1
50868743,1
14245505,1
18060386,1
28511175,1
13765408,1
47324590,1
39746473,1
24907077,1
46287671,1
23191589,1
48244992,1
45654160,1
39191076,1
